t	g1r1	g1r2	g1ave	g2r1	g4r1
0.63800	-2.1450	-0.46312	-2.1450	1.2014	0.28953
0.64000	-2.1851	-0.50328	-2.1851	1.2816	0.22667
0.64200	-2.1851	-0.46312	-2.1851	1.1612	0.22667
0.64400	-2.1048	-0.39083	-2.1048	1.1211	0.22667
0.64600	-1.9923	-0.46312	-1.9923	1.2415	0.22667
0.64800	-1.9923	-0.46312	-1.9923	1.2415	0.28953
0.65000	-1.9522	-0.50328	-1.9522	1.2415	0.28953
0.65200	-1.9522	-0.43099	-1.9522	1.2014	0.28953
0.65400	-1.6710	-0.46312	-1.6710	1.2816	0.22667
0.65600	-1.7915	-0.43099	-1.7915	1.2415	0.28953
0.65800	-1.6389	-0.46312	-1.6389	1.2816	0.35238
0.66000	-1.6389	-0.46312	-1.6389	1.2415	0.28953
0.66200	-1.5586	-0.43099	-1.5586	1.2014	0.28953
0.66400	-1.5586	-0.46312	-1.5586	1.1211	0.35238
0.66600	-1.4782	-0.46312	-1.4782	1.2816	0.16382
0.66800	-1.4381	-0.54345	-1.4381	1.1612	0.28953
0.67000	-1.3979	-0.46312	-1.3979	1.2014	0.28953
0.67200	-1.4381	-0.46312	-1.4381	1.2816	0.35238
0.67400	-1.3176	-0.46312	-1.3176	1.2415	0.16382
0.67600	-1.3176	-0.46312	-1.3176	1.2014	0.22667
0.67800	-1.2453	-0.43099	-1.2453	1.2816	0.41524
0.68000	-1.2453	-0.43099	-1.2453	1.3619	0.28953
0.68200	-1.2453	-0.39083	-1.2453	1.3218	0.35238
0.68400	-1.1650	-0.35066	-1.1650	1.2415	0.41524
0.68600	-1.0847	-0.46312	-1.0847	1.3218	0.28953
0.68800	-1.1248	-0.43099	-1.1248	1.3619	0.41524
0.69000	-1.0043	-0.35066	-1.0043	1.2816	0.35238
0.69200	-0.93203	-0.31050	-0.93203	1.3218	0.47809
0.69400	-0.85171	-0.35066	-0.85171	1.3218	0.47809
0.69600	-0.93203	-0.35066	-0.93203	1.2816	0.22667
0.69800	-0.89187	-0.31050	-0.89187	1.2415	0.28953
0.70000	-0.77138	-0.27034	-0.77138	1.2415	0.28953
0.70200	-0.77138	-0.31050	-0.77138	1.3218	0.41524
0.70400	-0.85171	-0.39083	-0.85171	1.2816	0.35238
0.70600	-0.81155	-0.35066	-0.81155	1.3218	0.41524
0.70800	-0.57860	-0.35066	-0.57860	1.3218	0.35238
0.71000	-0.65089	-0.35066	-0.65089	1.3218	0.54095
0.71200	-0.57860	-0.39083	-0.57860	1.3940	0.47809
0.71400	-0.57860	-0.39083	-0.57860	1.2415	0.41524
0.71600	-0.49828	-0.35066	-0.49828	1.2415	0.47809
0.71800	-0.49828	-0.35066	-0.49828	1.2816	0.41524
0.72000	-0.49828	-0.39083	-0.49828	1.3218	0.28953
0.72200	-0.41795	-0.43099	-0.41795	1.2014	0.41524
0.72400	-0.41795	-0.35066	-0.41795	1.2415	0.35238
0.72600	-0.41795	-0.35066	-0.41795	1.3218	0.47809
0.72800	-0.26533	-0.31050	-0.26533	1.3619	0.35238
0.73000	-0.30549	-0.27034	-0.30549	1.2415	0.35238
0.73200	-0.26533	-0.23018	-0.26533	1.3218	0.47809
0.73400	-0.30549	-0.23018	-0.30549	1.3940	0.47809
0.73600	-0.30549	-0.19001	-0.30549	1.2816	0.47809
0.73800	-0.26533	-0.23018	-0.26533	1.2415	0.60381
0.74000	-0.10468	-0.27034	-0.10468	1.3619	0.35238
0.74200	-0.22517	-0.23018	-0.22517	1.3218	0.60381
0.74400	-0.10468	-0.19001	-0.10468	1.3619	0.60381
0.74600	-0.10468	-0.19001	-0.10468	1.3218	0.60381
0.74800	-0.024353	-0.14985	-0.024353	1.2415	0.41524
0.75000	-0.10468	-0.14985	-0.10468	1.2415	0.47809
0.75200	-0.064516	-0.19001	-0.064516	1.3218	0.47809
0.75400	0.015810	-0.14985	0.015810	1.2415	0.47809
0.75600	0.015810	-0.11772	0.015810	1.2415	0.54095
0.75800	0.015810	-0.23018	0.015810	1.2415	0.47809
0.76000	0.015810	-0.19001	0.015810	1.3619	0.41524
0.76200	0.088103	-0.19001	0.088103	1.3218	0.60381
0.76400	0.088103	-0.077557	0.088103	1.2415	0.65409
0.76600	0.047940	-0.11772	0.047940	1.3940	0.65409
0.76800	0.12827	-0.19001	0.12827	1.3218	0.54095
0.77000	0.12827	-0.14985	0.12827	1.2014	0.41524
0.77200	0.16843	-0.037394	0.16843	1.2816	0.71695
0.77400	0.12827	-0.11772	0.12827	1.3218	0.41524
0.77600	0.088103	-0.11772	0.088103	1.2014	0.54095
0.77800	0.16843	-0.037394	0.16843	1.2014	0.71695
0.78000	0.20859	0.0027690	0.20859	1.3218	0.54095
0.78200	0.16843	0.042932	0.16843	1.3218	0.54095
0.78400	0.12827	0.0027690	0.12827	1.2415	0.65409
0.78600	0.16843	0.0027690	0.16843	1.3218	0.65409
0.78800	0.28892	0.042932	0.28892	1.2816	0.65409
0.79000	0.20859	0.083095	0.20859	1.2816	0.60381
0.79200	0.20859	0.0027690	0.20859	1.2415	0.60381
0.79400	0.32908	0.0027690	0.32908	1.2816	0.65409
0.79600	0.28892	0.0027690	0.28892	1.3218	0.71695
0.79800	0.24875	0.0027690	0.24875	1.2415	0.65409
0.80000	0.24875	0.042932	0.24875	1.2014	0.60381
0.80200	0.40137	0.083095	0.40137	1.2014	0.60381
0.80400	0.28892	0.042932	0.28892	1.1612	0.65409
0.80600	0.32908	0.0027690	0.32908	1.3940	0.71695
0.80800	0.24875	0.042932	0.24875	1.1612	0.54095
0.81000	0.32908	0.083095	0.32908	1.1612	0.54095
0.81200	0.32908	0.083095	0.32908	1.2014	0.65409
0.81400	0.32908	0.042932	0.32908	1.3218	0.60381
0.81600	0.28892	0.083095	0.28892	1.2014	0.65409
0.81800	0.32908	0.16342	0.32908	1.2014	0.71695
0.82000	0.36121	0.16342	0.36121	1.2816	0.65409
0.82200	0.40137	0.042932	0.40137	1.2415	0.65409
0.82400	0.36121	0.0027690	0.36121	1.1612	0.71695
0.82600	0.44154	0.083095	0.44154	1.2415	0.71695
0.82800	0.44154	0.12326	0.44154	1.1211	0.77980
0.83000	0.36121	0.16342	0.36121	1.1211	0.65409
0.83200	0.40137	0.083095	0.40137	1.1211	0.65409
0.83400	0.48170	0.16342	0.48170	1.0810	0.71695
0.83600	0.44154	0.27588	0.44154	1.0810	0.77980
