t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g4r1	g4r2	g4ave
0.35800	-5.3078	-5.0466	-5.1772	0.10032	-0.00083200	0.049743	-0.12834	-0.13935	-0.13384
0.36000	-5.7436	-5.2887	-5.5161	-0.020398	0.039406	0.0095040	-0.24160	-0.20227	-0.22194
0.36200	-5.4611	-5.6438	-5.5524	0.18079	-0.081309	0.049743	-0.065417	-0.31553	-0.19048
0.36400	-5.7758	-5.3290	-5.5524	0.019840	0.079645	0.049743	-0.30453	0.049423	-0.12755
0.36600	-6.0179	-5.4420	-5.7300	0.019840	-0.041070	-0.010615	-0.30453	-0.013501	-0.15901
0.36800	-5.7436	-5.6438	-5.6937	0.10032	0.039406	0.069862	0.12335	0.049423	0.086388
0.37000	-6.0986	-5.4420	-5.7703	-0.020398	0.11988	0.049743	-0.19126	0.17527	-0.0079970
0.37200	-5.9776	-5.7567	-5.8672	0.019840	-0.081309	-0.030734	-0.065417	-0.13935	-0.10238
0.37400	-5.8162	-5.6841	-5.7501	0.18079	0.079645	0.13022	0.12335	-0.013501	0.054926
0.37600	-6.2923	-5.6841	-5.9882	0.019840	0.19231	0.10608	-0.12834	0.049423	-0.039459
0.37800	-6.1309	-5.9988	-6.0649	0.10032	-0.00083200	0.049743	0.060430	-0.25261	-0.096090
0.38000	-6.0583	-5.7164	-5.8873	0.14055	0.19231	0.16643	0.18628	0.23819	0.21224
0.38200	-6.4456	-5.9181	-6.1819	0.019840	0.16012	0.089981	-0.19126	0.049423	-0.070920
0.38400	-6.1309	-6.1925	-6.1617	0.14055	-0.041070	0.049742	-0.0024940	-0.13935	-0.070921
0.38600	-6.4456	-5.9181	-6.1819	0.060078	0.16012	0.11010	-0.065417	0.049423	-0.0079970
0.38800	-6.6877	-6.3135	-6.5006	-0.060637	-0.041070	-0.050853	-0.43037	-0.076424	-0.25340
0.39000	-6.4860	-6.5072	-6.4966	0.019840	-0.12155	-0.050853	-0.0024940	-0.25261	-0.12755
0.39200	-6.7684	-6.2328	-6.5006	0.060078	0.079645	0.069862	-0.19126	-0.076424	-0.13384
0.39400	-6.8410	-6.4265	-6.6338	-0.020398	-0.041070	-0.030734	-0.24160	-0.20227	-0.22194
0.39600	-6.5667	-6.3862	-6.4764	0.25322	0.11988	0.18655	0.12335	-0.013501	0.054926
0.39800	-6.9217	-6.1522	-6.5369	0.10032	0.19231	0.14631	-0.065417	0.35146	0.14302
0.40000	-6.8410	-6.5476	-6.6943	0.14055	0.11988	0.13022	-0.0024940	0.049423	0.023465
0.40200	-6.6474	-6.3135	-6.4805	0.33370	0.19231	0.26301	0.24920	0.28853	0.26887
0.40400	-7.1154	-6.5072	-6.8113	0.14055	0.079645	0.11010	-0.19126	0.17527	-0.0079970
0.40600	-6.9621	-6.9833	-6.9727	0.18079	-0.081309	0.049743	-0.065417	-0.25261	-0.15901
0.40800	-7.0428	-6.6283	-6.8355	0.22103	0.11988	0.17046	-0.0024940	0.11235	0.054926
0.41000	-7.4382	-6.9430	-7.1906	-0.020398	-0.00083200	-0.010615	-0.36745	-0.25261	-0.31003
0.41200	-7.1154	-7.0560	-7.0857	0.22103	-0.12155	0.049742	-0.12834	-0.25261	-0.19048
0.41400	-7.3171	-6.7090	-7.0131	0.10032	0.27279	0.18655	-0.12834	0.17527	0.023465
0.41600	-7.6319	-6.9833	-7.3076	-0.060637	-0.00083200	-0.030734	-0.24160	-0.076424	-0.15901
0.41800	-7.3171	-6.9430	-7.1301	0.18079	0.039406	0.11010	0.060430	-0.013501	0.023465
0.42000	-7.6319	-6.7090	-7.1704	0.060078	0.19231	0.12619	-0.12834	0.23819	0.054926
0.42200	-7.5512	-7.1770	-7.3641	0.14055	0.039406	0.089980	-0.12834	-0.076424	-0.10238
0.42400	-7.3978	-7.1770	-7.2874	0.33370	0.039406	0.18655	0.29954	-0.013501	0.14302
0.42600	-7.7126	-7.0237	-7.3681	0.060078	0.079645	0.069862	-0.12834	0.23819	0.054926
0.42800	-7.6722	-7.3787	-7.5255	0.18079	-0.00083200	0.089981	0.060430	-0.20227	-0.070920
0.43000	-7.4705	-6.9430	-7.2067	0.25322	0.16012	0.20667	0.060430	0.17527	0.11785
0.43200	-7.7529	-7.0963	-7.4246	0.019840	0.16012	0.089981	-0.24160	0.11235	-0.064628
0.43400	-7.6319	-7.4514	-7.5416	0.25322	-0.00083200	0.12620	0.12335	-0.076424	0.023464
0.43600	-7.7126	-7.2173	-7.4650	0.10032	0.23255	0.16643	-0.065417	0.23819	0.086388
0.43800	-8.1080	-7.5321	-7.8200	-0.020398	-0.041070	-0.030734	-0.30453	-0.20227	-0.25340
0.44000	-7.8255	-7.7661	-7.7958	0.18079	-0.12155	0.029624	-0.0024940	-0.25261	-0.12755
0.44200	-7.9062	-7.4110	-7.6586	0.060078	0.19231	0.12619	-0.36745	-0.013501	-0.19048
0.44400	-8.1080	-7.5321	-7.8200	0.14055	0.039406	0.089980	-0.24160	-0.13935	-0.19048
0.44600	-7.7852	-7.4514	-7.6183	0.33370	0.11988	0.22679	0.12335	-0.13935	-0.0079975
0.44800	-8.1080	-7.1367	-7.6223	0.10032	0.27279	0.18655	-0.19126	0.35146	0.080096
0.45000	-8.0273	-7.4917	-7.7595	0.33370	0.19231	0.26301	0.12335	0.11235	0.11785
0.45200	-7.7126	-7.2980	-7.5053	0.37394	0.11988	0.24691	0.060430	0.17527	0.11785
0.45400	-8.1806	-7.4110	-7.7958	0.22103	0.16012	0.19058	-0.065417	0.17527	0.054927
0.45600	-7.9466	-7.8871	-7.9169	0.29346	-0.00083200	0.14631	0.12335	-0.25261	-0.064628
0.45800	-7.9869	-7.5724	-7.7797	0.22103	-0.00083200	0.11010	0.12335	0.049423	0.086388
0.46000	-8.4227	-7.8468	-8.1347	0.060078	0.039406	0.049742	-0.24160	-0.25261	-0.24711
0.46200	-7.9869	-7.8871	-7.9370	0.25322	-0.00083200	0.12620	0.060430	-0.20227	-0.070920
0.46400	-8.2209	-7.4917	-7.8563	0.14055	0.31303	0.22679	-0.12834	0.049423	-0.039459
0.46600	-8.4227	-7.5724	-7.9976	0.060078	0.11988	0.089980	-0.24160	-0.076424	-0.15901
0.46800	-7.9869	-7.6531	-7.8200	0.22103	0.19231	0.20667	0.060430	0.11235	0.086388
0.47000	-8.3823	-7.4514	-7.9169	0.10032	0.31303	0.20667	-0.24160	0.23819	-0.0017045
0.47200	-8.1806	-7.7257	-7.9532	0.25322	-0.041070	0.10608	-0.19126	-0.20227	-0.19677
0.47400	-7.8659	-7.6935	-7.7797	0.33370	0.079645	0.20667	0.18628	-0.13935	0.023465
0.47600	-8.3016	-7.6128	-7.9572	0.22103	0.19231	0.20667	-0.12834	0.11235	-0.0079975
0.47800	-7.9466	-7.8468	-7.8967	0.29346	0.079645	0.18655	-0.0024940	-0.20227	-0.10238
0.48000	-7.9466	-7.4110	-7.6788	0.41418	0.19231	0.30324	0.24920	0.17527	0.21224
0.48200	-8.1806	-7.6128	-7.8967	0.33370	0.27279	0.30324	-0.12834	0.11235	-0.0079975
0.48400	-7.9466	-7.8871	-7.9169	0.41418	0.11988	0.26703	0.12335	-0.076424	0.023464
0.48600	-8.1403	-7.4917	-7.8160	0.37394	0.23255	0.30324	-0.0024940	0.17527	0.086388
0.48800	-8.3420	-7.8468	-8.0944	0.22103	0.079645	0.15034	-0.36745	-0.31553	-0.34149
