t	g1r1	g1r2	g1ave	g2r1	g2r2	g2ave	g3r1	g3r2	g3ave	g4r1	g4r2	g4ave
0.24000	-0.77260	-0.47447	-0.62353	0.24161	0.26233	0.25197	0.37003	0.20769	0.28886	0.26256	0.35263	0.30759
0.24200	-1.0436	-0.67380	-0.85867	-0.031089	0.029858	-0.00061550	-0.17737	-0.040897	-0.10913	-0.038552	-0.14942	-0.093988
0.24400	-1.2029	-0.67380	-0.93836	0.0090130	0.10200	0.055509	-0.052960	0.33199	0.13951	-0.16402	0.16436	0.00017101
0.24600	-1.2029	-0.55420	-0.87857	0.041095	0.34250	0.19180	-0.17737	0.20769	0.015162	-0.16402	0.22711	0.031549
0.24800	-1.3942	-0.90502	-1.1496	-0.11129	-0.090387	-0.10084	-0.47595	-0.27706	-0.37650	-0.28948	-0.26238	-0.27593
0.25000	-1.1232	-0.90502	-1.0141	0.12130	0.061924	0.091612	-0.052960	0.083398	0.015219	-0.038552	-0.023910	-0.031231
0.25200	-1.3942	-0.98475	-1.1895	0.0090130	0.061924	0.035469	0.0092440	-0.16519	-0.077975	-0.10128	0.038846	-0.031219
0.25400	-1.3225	-1.1362	-1.2294	0.0090130	-0.17055	-0.080769	0.0092440	-0.40135	-0.19606	-0.10128	-0.51341	-0.30735
0.25600	-1.1232	-1.0166	-1.0699	0.081198	0.029858	0.055528	0.19586	0.083398	0.13963	0.26256	0.038846	0.15070
0.25800	-1.3543	-1.0565	-1.2054	0.081198	0.061924	0.071561	0.071448	-0.10305	-0.015799	0.011633	-0.023910	-0.0061385
0.26000	-1.3225	-1.0565	-1.1895	0.041095	-0.010224	0.015436	0.071448	-0.040897	0.015275	0.011633	-0.086666	-0.037517
0.26200	-1.2029	-0.78542	-0.99418	0.12130	0.22225	0.17177	0.19586	0.44385	0.31986	0.13710	0.16436	0.15073
0.26400	-1.5137	-1.0964	-1.3051	0.0090130	0.061924	0.035469	-0.11516	-0.16519	-0.14018	-0.16402	-0.023910	-0.093963
0.26600	-1.2826	-0.98475	-1.1337	0.12130	0.061924	0.091612	0.13365	-0.040897	0.046378	0.13710	-0.086666	0.025215
0.26800	-1.2428	-0.90502	-1.0739	0.12130	0.26233	0.19182	0.25806	0.44385	0.35096	0.074365	0.22711	0.15074
0.27000	-1.5934	-1.2558	-1.4246	0.041095	0.10200	0.071550	-0.17737	-0.21491	-0.19614	-0.10128	-0.14942	-0.12535
0.27200	-1.2826	-1.0166	-1.1496	0.12130	0.061924	0.091612	-0.11516	-0.10305	-0.10910	0.011633	-0.023910	-0.0061385
0.27400	-1.5934	-1.2160	-1.4047	-0.071192	0.14209	0.035448	-0.052960	0.14555	0.046293	-0.16402	0.038846	-0.062585
0.27600	-1.7847	-1.2957	-1.5402	0.041095	0.029858	0.035476	-0.17737	-0.16519	-0.17128	-0.28948	-0.19963	-0.24455
0.27800	-1.5934	-1.1362	-1.3648	0.041095	0.10200	0.071550	-0.11516	-0.040897	-0.078030	-0.038552	0.038846	0.00014700
0.28000	-1.7847	-1.4871	-1.6359	-0.071192	0.10200	0.015407	-0.35154	-0.040897	-0.19622	-0.16402	-0.023910	-0.093963
0.28200	-1.8245	-1.5269	-1.6757	0.0090130	-0.090387	-0.040687	-0.11516	-0.21491	-0.16504	-0.22675	-0.19963	-0.21319
0.28400	-1.4739	-1.2558	-1.3649	0.16140	0.14209	0.15174	0.25806	-0.040897	0.10858	0.19983	-0.023910	0.087959
0.28600	-1.5934	-1.6465	-1.6200	0.16140	-0.010224	0.075590	0.19586	-0.10305	0.046406	0.074365	-0.14942	-0.037529
0.28800	-1.6333	-1.4073	-1.5203	0.16140	-0.010224	0.075590	0.30782	-0.040897	0.13346	0.19983	-0.19963	0.00010050
0.29000	-1.4340	-1.2160	-1.3250	0.24161	0.30241	0.27201	0.43223	0.26984	0.35104	0.32529	0.22711	0.27620
0.29200	-1.9042	-1.4871	-1.6956	-0.031089	0.18217	0.075540	-0.052960	0.083398	0.015219	0.011633	-0.023910	-0.0061385
0.29400	-1.8245	-1.2160	-1.5202	0.12130	0.18217	0.15173	-0.11516	0.20769	0.046264	-0.038552	0.16436	0.062903
0.29600	-1.9441	-1.2957	-1.6199	0.041095	0.26233	0.15171	-0.11516	0.14555	0.015191	-0.10128	0.10160	0.00015900
0.29800	-2.3505	-1.7581	-2.0543	-0.055151	0.14209	0.043468	-0.35154	-0.040897	-0.19622	-0.25811	-0.14942	-0.20377
0.30000	-2.0556	-1.4472	-1.7514	0.081198	0.061924	0.071561	-0.052960	0.021250	-0.015855	-0.10128	-0.086666	-0.093975
